pick_date,rank,code,name,board,industry,stock_url,score,conclusion,data_quality,buy_price,next_date,return_open,return_0945,return_1000,best_return_before_1000,worst_return_before_1000,net_return_1000,market_label,market_score,sector_score,trend_score,quant_score,intraday_score,risk_score,pct,volume_ratio,turnover,amount,float_mv,late_return,last5_return,day_range_pos,intraday_range_pos,short_reason,short_blockers,flags
2026-04-30,3,300609,汇纳科技,创业板,创业板,https://quote.eastmoney.com/sz300609.html,81,短线候选,5分钟分时,42.89,2026-05-06,0.2797854977850234,0.04663091629748539,-0.44299370482629996,2.3548612730240004,-0.6761482863138268,-0.5929937048263,中性偏强,12,14,15,13,17,10,6.638488314271518,1.8311541129805273,8.060350346112886,410152411.0,5151737767.828589,0.06999533364442367,0.0,0.9160839160839154,0.9160839160839154,板块第2；14:30后0.07%；分时位置92%；日内位置92%,,无明显扣分项
2026-04-30,4,002348,高乐股份,深主板,深主板,https://quote.eastmoney.com/sz002348.html,80,短线候选,5分钟分时,11.1,2026-05-06,0.2702702702702897,4.684684684684681,8.108108108108114,8.108108108108114,-0.9909909909909809,7.958108108108114,中性偏强,12,12,15,14,17,10,4.815864022662897,1.7572172223703915,4.306893700752634,445605241.0,10514401140.68441,0.4524886877828038,0.3616636528028794,0.8510638297872336,0.8510638297872336,板块第3；14:30后0.45%；分时位置85%；日内位置85%,,无明显扣分项
2026-05-06,1,000681,视觉中国,深主板,深主板,https://quote.eastmoney.com/sz000681.html,90,短线候选,5分钟分时,22.53,2026-05-07,-0.7545494895694671,-1.509098979138923,-0.710164225477139,0.665778961384822,-1.6866400355082245,-0.860164225477139,顺风,17,16,15,15,17,10,3.253895508707605,1.9374549724692107,8.994085529502422,1408126563.71,15783741902.313625,0.17785682525568447,0.17785682525568447,0.8026315789473698,0.8026315789473698,板块第3；14:30后0.18%；分时位置80%；日内位置80%,,无明显扣分项
2026-05-06,2,300201,海伦哲,创业板,创业板,https://quote.eastmoney.com/sz300201.html,90,短线候选,5分钟分时,12.55,2026-05-07,0.9561752988047845,2.6294820717131406,5.5776892430278835,5.976095617529875,0.7171314741035939,5.427689243027883,顺风,17,16,15,15,17,10,6.265876375952595,1.9376225933679732,5.555727739897643,684370815.23,12663415814.954277,0.560897435897445,1.455133387227181,0.9340659340659355,0.9340659340659355,板块第2；14:30后0.56%；分时位置93%；日内位置93%,,无明显扣分项
2026-05-06,3,002810,山东赫达,深主板,深主板,https://quote.eastmoney.com/sz002810.html,90,短线候选,5分钟分时,27.31,2026-05-07,0.6224826071036249,0.8787989747345293,-0.18308311973634916,1.354815086049066,-1.0984987184181505,-0.3330831197363492,顺风,17,16,15,15,17,10,2.1316379955123477,1.3516904497959104,5.5384520452762525,513932237.48999995,9548868730.407524,0.0366300366300365,-0.43747721472839896,0.8901734104046236,0.8901734104046236,板块第3；14:30后0.04%；分时位置89%；日内位置89%,,无明显扣分项
2026-05-06,4,301487,盟固利,创业板,创业板,https://quote.eastmoney.com/sz301487.html,90,短线候选,5分钟分时,25.64,2026-05-07,-0.7800312012480437,-0.3510140405616258,-1.3650546021840904,-0.07800312012480326,-1.6380655226209129,-1.5150546021840903,顺风,17,16,15,15,17,10,5.254515599343201,1.4793341304805627,5.040856477036063,583371137.1400001,11784066498.740553,0.3522504892367939,0.5490196078431486,0.9217391304347828,0.9217391304347828,板块第2；14:30后0.35%；分时位置92%；日内位置92%,,无明显扣分项
2026-05-06,5,002439,启明星辰,深主板,深主板,https://quote.eastmoney.com/sz002439.html,89,短线候选,5分钟分时,16.28,2026-05-07,-0.1842751842751955,-2.518427518427535,-1.2285012285012442,-0.1842751842751955,-2.518427518427535,-1.3785012285012441,顺风,17,16,15,14,17,10,4.225352112676073,1.9239535704541155,5.828909659108281,1140646353.1999998,19721913580.246914,0.30807147258165024,0.4938271604938427,0.8870967741935482,0.8870967741935482,板块第3；14:30后0.31%；分时位置89%；日内位置89%,,无明显扣分项
2026-05-07,1,300480,光力科技,创业板,创业板,https://quote.eastmoney.com/sz300480.html,91,短线候选,5分钟分时,38.19,2026-05-08,-3.115998952605392,-1.623461639172552,-1.544907043728716,-0.8117308195862649,-4.765645456925894,-1.694907043728716,顺风,17,16,15,15,18,10,5.380794701986735,1.2719422193744254,7.508695209064712,1027978009.75,14138819592.628515,1.4342629482071656,1.9215372297838318,0.9448818897637793,0.9448818897637793,板块第2；14:30后1.43%；分时位置94%；日内位置94%,,无明显扣分项
2026-05-07,2,300393,中来股份,创业板,创业板,https://quote.eastmoney.com/sz300393.html,90,短线候选,5分钟分时,11.65,2026-05-08,-1.373390557939913,2.145922746781115,1.2017167381974225,2.489270386266096,-1.373390557939913,1.0517167381974226,顺风,17,16,15,15,17,10,4.578096947935362,1.3141476304658224,5.874025993527508,736362124.1500001,12693406205.923838,0.3445305770887197,0.4310344827586299,0.8309859154929586,0.8309859154929586,板块第2；14:30后0.34%；分时位置83%；日内位置83%,,无明显扣分项
2026-05-07,3,300745,欣锐科技,创业板,创业板,https://quote.eastmoney.com/sz300745.html,90,短线候选,5分钟分时,41.48,2026-05-08,2.1456123432979757,1.3259402121504449,0.7955641272902714,3.5920925747348065,-0.36162005785920215,0.6455641272902714,顺风,17,16,15,14,18,10,5.039250443150145,1.2915173718247375,10.458318331644005,696883728.59,6992565117.732861,0.924574209245721,0.7285089849441428,0.9904153354632584,0.9904153354632584,板块第2；14:30后0.92%；分时位置99%；日内位置99%,,无明显扣分项
2026-05-07,4,300083,创世纪,创业板,创业板,https://quote.eastmoney.com/sz300083.html,90,短线候选,5分钟分时,10.29,2026-05-08,-1.8464528668610258,1.846452866861048,1.263362487852282,3.3041788143829187,-3.3041788143828965,1.113362487852282,顺风,17,16,15,15,17,10,5.322415557830085,1.562001260396262,14.304654994899305,2405881809.0,17131418740.849194,0.19474196689386325,0.29239766081869956,0.8607594936708847,0.8607594936708847,板块第2；14:30后0.19%；分时位置86%；日内位置86%,,无明显扣分项
2026-05-07,5,300292,吴通控股,创业板,创业板,https://quote.eastmoney.com/sz300292.html,89,短线候选,5分钟分时,5.51,2026-05-08,-1.0889292196007205,-0.3629764065335661,0.1814882032667775,0.1814882032667775,-1.6333938294010864,0.03148820326677751,顺风,17,16,15,14,17,10,4.752851711026618,1.564893703906207,8.117387768711753,593112674.6,7392679999.999999,0.1818181818181719,0.1818181818181719,0.8571428571428571,0.8571428571428571,板块第2；14:30后0.18%；分时位置86%；日内位置86%,,无明显扣分项
2026-05-08,1,300077,国民技术,创业板,创业板,https://quote.eastmoney.com/sz300077.html,88,短线候选,5分钟分时,25.49,2026-05-11,-0.5884660651235718,-1.5692428403295322,-0.7453903491565272,1.333856414280099,-1.922322479403682,-0.8953903491565273,中性偏强,15,16,15,15,17,10,3.0315278900565845,1.3825118112137982,10.821232942131982,1839582797.3500001,17285817555.938034,0.31483667847302943,0.23594180102239903,0.9489051094890508,0.9489051094890508,板块第1；14:30后0.31%；分时位置95%；日内位置95%,,无明显扣分项
2026-05-08,2,300872,天阳科技,创业板,创业板,https://quote.eastmoney.com/sz300872.html,88,短线候选,5分钟分时,20.35,2026-05-11,12.481572481572467,4.324324324324325,3.5872235872235647,12.481572481572467,1.8181818181818077,3.437223587223565,中性偏强,15,16,15,15,17,10,6.210855949895633,2.354876311489118,8.619335202919709,842343879.7900001,9933313539.192398,0.34516765285996787,0.44422507403751865,0.9324324324324339,0.9324324324324339,板块第1；14:30后0.35%；分时位置93%；日内位置93%,,无明显扣分项
2026-05-08,3,000823,超声电子,深主板,深主板,https://quote.eastmoney.com/sz000823.html,88,短线候选,5分钟分时,17.63,2026-05-11,-2.382302892796362,-0.5104934770277958,-1.6449234259784395,0.11344299489506326,-2.7226318774815628,-1.7949234259784395,中性偏强,15,15,15,15,18,10,3.0391583869082472,2.4036846305788413,10.605273826617179,1091458573.29,10489015772.870663,1.1474469305794655,1.3218390804597746,0.9692307692307698,0.9692307692307698,板块第3；14:30后1.15%；分时位置97%；日内位置97%,,无明显扣分项
2026-05-08,4,002048,宁波华翔,深主板,深主板,https://quote.eastmoney.com/sz002048.html,86,短线候选,5分钟分时,30.36,2026-05-11,-1.7028985507246408,-2.0092226613965702,-2.6350461133069825,-0.6258234519104011,-3.3267457180500615,-2.7850461133069824,中性偏强,15,15,15,14,17,10,5.883583859379904,2.2147161974258247,4.702478053704485,1146434050.6499999,24708315789.473682,0.09891196834816984,0.16496205872649217,0.9045226130653261,0.9045226130653261,板块第3；14:30后0.10%；分时位置90%；日内位置90%,,无明显扣分项
